size_label,target_bytes,rank,connections,queue_mode,segment_size,buffer_size,http_mode,repeats,successful_repeats,avg_mbps,median_mbps,min_mbps,max_mbps,stddev_mbps,success_rate
10MB,10485760,1,2,true,1048576,262144,http1,1,1,2.777626,2.777626,2.777626,2.777626,0.000000,1.000000
10MB,10485760,2,1,true,8388608,4194304,auto,1,1,2.776071,2.776071,2.776071,2.776071,0.000000,1.000000
10MB,10485760,3,2,true,2097152,1048576,http1,2,2,2.740664,2.740664,2.605217,2.876111,0.135447,1.000000
10MB,10485760,4,2,true,1048576,524288,http1,4,4,2.706485,2.709366,2.586334,2.820875,0.094086,1.000000
10MB,10485760,5,2,true,1048576,1048576,http1,2,2,2.689640,2.689640,2.641378,2.737903,0.048262,1.000000
10MB,10485760,6,2,true,2097152,262144,http1,4,4,2.692825,2.661728,2.365960,3.081885,0.320264,1.000000
10MB,10485760,7,1,true,8388608,262144,auto,1,1,2.632401,2.632401,2.632401,2.632401,0.000000,1.000000
10MB,10485760,8,2,true,4194304,1048576,http1,2,2,2.624779,2.624779,2.564867,2.684691,0.059912,1.000000
10MB,10485760,9,2,true,2097152,524288,http1,4,4,2.627145,2.619885,2.249451,3.019358,0.318581,1.000000
10MB,10485760,10,1,true,8388608,1048576,auto,2,2,2.541749,2.541749,2.425928,2.657570,0.115821,1.000000
10MB,10485760,11,1,true,4194304,1048576,auto,3,3,2.338896,2.275460,2.104188,2.637041,0.222113,1.000000
10MB,10485760,12,2,true,2097152,2097152,http1,1,1,2.201407,2.201407,2.201407,2.201407,0.000000,1.000000
10MB,10485760,13,1,true,2097152,1048576,auto,1,1,2.143255,2.143255,2.143255,2.143255,0.000000,1.000000
10MB,10485760,14,1,true,1048576,1048576,auto,1,1,1.958827,1.958827,1.958827,1.958827,0.000000,1.000000
10MB,10485760,15,2,true,8388608,1048576,http1,1,1,1.938455,1.938455,1.938455,1.938455,0.000000,1.000000
10MB,10485760,16,1,true,8388608,524288,auto,1,1,1.892055,1.892055,1.892055,1.892055,0.000000,1.000000
10MB,10485760,17,1,true,8388608,2097152,auto,1,1,1.836347,1.836347,1.836347,1.836347,0.000000,1.000000
10MB,10485760,18,1,true,4194304,1048576,http1,2,2,1.635811,1.635811,1.372991,1.898630,0.262819,1.000000
10MB,10485760,19,2,true,4194304,1048576,auto,1,1,1.228949,1.228949,1.228949,1.228949,0.000000,1.000000
